gene,log2fc,padj
queA,-0.0713937572618735,0.0198658325903848
dacB,0.0724175371641865,0.0198658325903848
ydeI,0.0829660249771476,0.0198658325903848
ydcH,-0.0796564640056917,0.0198658325903848
pin,-0.104088691948795,0.0198658325903848
yfeU,-0.154946618077773,0.0198658325903848
yjhB,0.0916498228270642,0.0199898202071854
not_JW5649,-0.149155986521596,0.0200927354339353
narX,-0.0966138623668922,0.0200927354339353
yfjV,-0.0845593361332753,0.0200927354339353
nuoE,0.229061591805807,0.0203227207529333
ascG,0.142276124607323,0.0231032045385949
yrhC,-0.125013176049524,0.0234103001472333
gnsB,0.086764389866288,0.0253465774420904
not_JW2931,0.0770227044219032,0.0259779266624168
rbsB,0.0839948575068611,0.0259779266624168
aspA,0.156387905255085,0.0262110263556131
ybhD,-0.105779661130124,0.0263776157149162
mdtI,0.116009091784274,0.0265232723674498
tfaQ,0.119813832589817,0.0265232723674498
creB,0.0822858262228692,0.0272273668493333
apaH,-0.0656565172529836,0.0272273668493333
yecS,-0.0633784369850035,0.0277142196587647
yifN,0.0934872884401731,0.0277142196587647
not_JW2461,0.190742952214543,0.0287124370169817
yfhM,0.0878591351485953,0.0287124370169817
leuA,0.0928275455629721,0.0291848082190651
pstS,-0.131965087842822,0.0291848082190651
phoQ,-0.113354090655592,0.0300558834580267
yggJ,0.319497522601691,0.0302242088449464
not_JW2514,0.364636462001303,0.0302312607066819
hlpA,-0.107019220000449,0.0304345837640511
ydhQ,0.0695475965583835,0.0315309786739616
emrK,-0.129057845560165,0.0326954580116497
not_JW0637,0.12417006229248,0.0353631761220644
yiiU,-0.100986378275016,0.0363171260889353
ybbM,0.0810023375398309,0.036523264758389
rpoN,0.193581295022288,0.0369270370810403
pyrE,0.182765708934138,0.0369762360918487
not_JW1440,-0.0854820584345758,0.0369762360918487
not_JW1181,-0.152554786830714,0.0372529289008391
purA,-0.301446670687569,0.0374719330675096
yebV,-0.172971927376106,0.0374719330675096
ssrA,-0.0842466135317897,0.0374719330675096
yeaA,-0.090919857063571,0.0374719330675096
yjhP,0.070600353339413,0.0374719330675096
ymcA,0.0785152211795319,0.0380462291755358
glk,0.105391481809664,0.0382962800715685
ampE,0.0940807762749253,0.0385844520682633
tktA,-0.104874072303464,0.0407795459472624
not_JW0708,-0.116584546238379,0.0407795459472624
not_JW2628,0.0627542081314679,0.0407795459472624
yedF,0.153248214507537,0.0407795459472624
torT,-0.0909939795345877,0.0407795459472624
ynfF,0.0952097768741542,0.0407795459472624
tolA,0.21069232293351,0.041748108473927
yrbD,-0.0684858689848047,0.041748108473927
